inp_claim_count,inp_avg_reimbursed,inp_avg_deductible,inp_avg_claim_duration,inp_avg_los,inp_avg_diag_codes,inp_avg_proc_codes,inp_unique_beneficiaries,inp_unique_physicians_per100,out_claim_count,out_avg_reimbursed,out_avg_deductible,out_avg_claim_duration,out_avg_diag_codes,out_unique_beneficiaries,out_unique_physicians_per100,avg_age,pct_deceased,avg_chronic_conditions,avg_ip_reimbursement,avg_op_reimbursement,inpatient_to_outpatient_ratio,total_claims,Provider
-0.69364315,-0.26309985,0.0,-0.34225702,-0.06780656,-0.17113547,-0.42212906,-0.278471,0.029515246,1.1511748,0.03038658,-0.03935828,0.0070509445,-0.54550344,-0.7338967,-0.026232878,0.054137148,-0.4223949,-0.17020272,-0.22166625,-0.6993038,-0.09991699,1.122042,PRV52573
-0.88788897,-0.37888172,0.0,-0.57994604,-0.08037346,-0.14768301,-0.289619,-0.37654543,0.12017434,-0.7653557,-0.08788094,-0.093988344,-0.03259482,-0.1401233,-0.0845581,0.12932707,-0.0069350363,0.027636314,-0.35703504,-0.29449788,-0.32741418,-0.13142617,-0.54144067,PRV52731
-1.159896,-0.37707472,0.0,-0.6647517,-0.18597922,-0.22742823,-0.31871772,-0.50046813,0.11263298,-0.372696,-0.059007704,-0.08218002,-0.21015662,-0.34373888,-0.03437051,-0.75123346,-0.5267917,-0.30316135,-0.29946637,-0.10067282,0.20177433,-0.13329563,-0.30610237,PRV53323
-1.1737125,-0.61786264,0.0,0.2676381,0.076537155,0.015404634,-0.7234265,-0.38969365,-0.40949714,-0.38490114,-0.23857753,-0.0069220867,-0.17971501,-0.111852005,0.08235126,-0.58145905,-0.40760276,-0.14761722,-0.09258935,-0.099924676,-0.31910253,-0.092337765,-0.30359802,PRV53166
-1.0164741,-0.39682144,0.0,-0.5693318,-0.10112341,-0.15033905,-0.31339383,-0.3629675,0.091025196,-0.4988076,-0.14306812,-0.2055337,-0.08015833,-0.4936938,-0.07113542,-0.055786785,-0.2691945,-0.23047394,-0.17925651,-0.6486751,-0.89686203,-0.1119727,-0.42242104,PRV56177
-1.0044818,-0.29670265,0.0,-0.5324911,-0.115905404,-0.09444397,-0.38076615,-0.45583543,0.04535499,-0.54149455,-0.05848996,-0.07050126,-0.19946986,-0.5924288,0.19369034,0.007255208,-0.22720101,-0.19527818,-0.24716558,0.055761,-0.42159817,-0.10948146,-0.4377504,PRV52878
-0.9257644,-0.39822984,0.0,-0.5330547,-0.05219631,-0.21082518,-0.4242267,-0.41225314,0.011800563,-0.28933325,-0.32049572,-0.22334248,-0.1419922,-0.3323648,0.018542875,-0.042892806,-0.056056112,-0.23527291,-0.026432976,-0.38648465,0.14989012,-0.096745245,-0.14963166,PRV54477
-0.85157377,-0.33209994,0.0,-0.46087608,-0.060288295,-0.19576778,-0.5442348,-0.36842835,0.010937226,0.4069715,-0.36365312,-0.21641347,0.13482216,-0.08719621,-0.928915,-0.3871616,0.027210308,-0.2830038,-0.16311607,-0.2967986,-0.86413807,-0.13603434,0.578706,PRV51176
0.94571465,-0.37253025,0.0,0.0061766948,0.027629614,-0.71120936,-0.020674217,0.5174525,0.14814158,-0.20677203,-0.1457079,-0.034756932,-0.16267505,-0.26623493,-0.0072607505,-0.9726756,-0.9640329,-0.10918914,-0.18445113,0.14502144,-0.092477836,-0.03265165,-0.29121974,PRV56819
-0.89376813,-0.28894633,0.0,-0.3525605,-0.029103966,-0.15417188,-0.39827064,-0.35152456,0.04035705,0.16205333,-0.30496812,-0.1605623,0.11856507,-0.38814703,-0.0816227,-0.06538822,-0.31431788,-0.14211512,-0.19987041,-0.37944716,-0.25339687,-0.093873106,0.54853064,PRV52599
-0.9778377,-0.34939486,0.0,-0.65292215,-0.0740838,-0.11050123,-0.3696655,-0.38635886,0.10366016,-0.5772311,-0.06203328,0.4310555,-0.022873502,0.040997624,-0.010895259,-0.07151878,-0.10516461,-0.07371857,-0.33159724,-0.19696493,-0.26640198,-0.17394388,-0.45316064,PRV52391
-0.85775995,-0.2834459,0.0,-0.42871785,-0.047097906,-0.17595033,-0.14108855,-0.31955263,0.050526023,-0.6194888,0.009217778,0.5653684,0.10159926,0.04581064,-0.26150572,-1.0425456,-0.6814681,-0.03693189,-0.097467184,-0.31996,-0.48210108,-0.07422819,-1.0804147,PRV55854
-0.650938,0.34831017,0.0,-1.1494869,-0.28305382,-0.08490327,0.11319954,-0.5096121,-0.21382733,-0.52422845,-0.12947649,-0.006227984,-0.05874776,-0.3279449,-0.0379472,-0.77637106,-0.070359625,-0.09821243,-0.29042485,-0.015417678,-0.37054527,0.13116732,-0.74087703,PRV51288
3.5300179,-0.61760443,0.0,0.004301429,-0.04292704,-0.14573146,0.11203708,0.5369382,0.18459629,-0.12679294,0.39605653,0.2781385,-0.39645398,-0.102266215,0.14608066,-0.38648134,-0.1636536,-0.018910564,-0.15775096,-0.14593928,-0.45115468,0.20801818,0.10681516,PRV53961
-0.94343215,-0.28198972,0.0,-0.47850153,-0.053674106,-0.17270905,-0.21381538,-0.3631121,0.07803733,-0.35384035,-0.25349385,-0.21585561,-0.3772031,-0.294002,0.13798514,0.069604345,-0.36687794,0.7052012,-0.11612361,0.058594782,-0.2681672,-0.11514956,-0.32270598,PRV55566
-0.079572655,-0.36073083,0.0,-1.0638903,-0.2455129,-0.4759914,0.014100799,0.28183973,0.1932599,-0.2695338,-0.21059968,-0.16709766,-0.10637745,-0.07321825,-0.044616003,0.122389086,-0.50482893,-0.12998608,-0.34571797,-0.164146,-0.262646,-0.06642797,-0.7973817,PRV55140
2.0744007,0.18370362,0.0,0.18364981,0.049564723,0.054504354,0.3203408,0.09013382,-0.28024453,0.13625403,-0.040003378,-0.12646502,0.044368215,-0.2853546,-0.25705412,0.26263016,0.037230205,-0.1139636,-0.061360314,-0.038268596,-0.36207515,0.1084633,0.73613614,PRV53781
-1.0086358,-0.36216837,0.0,-0.5348113,-0.062181395,-0.1739792,-0.4141525,-0.36383235,-0.020512305,-0.21294455,-0.011123808,-0.20261288,-0.053027913,-0.07646708,0.009133697,0.13084699,-0.032146733,-0.36708656,-0.2640723,0.056838937,0.12107283,-0.0654804,0.0035258112,PRV53229
-0.26102954,-0.8050867,0.0,0.28311107,0.0009987945,0.22605802,-0.042370353,0.19318017,-0.120158866,-0.13398448,-0.18071385,-0.10251589,-0.14469567,-0.06562759,-0.0053285095,0.019037742,-0.10284102,-0.10076617,0.13397177,0.004432389,-1.0727369,-0.054010484,-0.7371651,PRV55051
-0.89068663,-0.23974295,0.0,-0.50893116,-0.08400425,-0.18977508,-0.25080398,-0.38879183,0.04329789,-0.58005685,-0.1718689,-0.11433158,-0.31573054,-0.09639977,0.0458599,0.05219888,-0.022212548,0.6575233,-0.36377776,-0.42330712,-0.3644709,-0.078106895,-0.37502605,PRV51716
-0.3473436,-0.4092203,0.0,-0.111537494,0.016655143,-0.0010623047,0.20585969,0.27663466,-0.115349226,-0.26962203,-0.027592354,-0.3062092,0.053750645,-0.029850136,-0.21568899,0.10185068,0.09982614,-0.11552589,-0.1558419,-0.16370134,0.25885415,-0.27714658,0.029993257,PRV52107
-0.71330804,-0.5792162,0.0,0.7149079,0.05884993,-0.20926744,-0.5439607,-0.25985292,-0.6393679,0.10099966,-0.18402743,-0.18691061,-0.06379512,-0.15415825,0.08264451,0.0721125,-0.13523233,0.33071673,-0.05547181,-0.35944906,-0.55430794,-0.12663153,0.2457447,PRV55450
-0.52096194,0.6256459,0.0,0.05655005,-0.00480623,-0.15140703,-0.8044492,-0.47443935,-0.10690374,-0.020769384,-0.06827654,-0.23440515,-0.08488658,0.098207794,-0.02607923,0.16300605,0.044017367,-0.10090131,-0.106495336,-0.13818422,0.18547115,-0.08705467,0.04745261,PRV53920
